,id,full_name,first_name,last_name,is_active
1439,2218,Joseph Forte,Joseph,Forte,False
1440,202622,Courtney Fortson,Courtney,Fortson,False
1441,1504,Danny Fortson,Danny,Fortson,False
1442,76740,Fred Foster,Fred,Foster,False
1443,323,Greg Foster,Greg,Foster,False
1444,1902,Jeff Foster,Jeff,Foster,False
1445,76742,Rod Foster,Rod,Foster,False
1446,1630701,Michael Foster Jr.,Michael,Foster Jr.,False
1447,2238,Antonis Fotsis,Antonis,Fotsis,False
1448,203095,Evan Fournier,Evan,Fournier,False
1449,76744,Larry Foust,Larry,Foust,False
1450,76745,Jerry Fowler,Jerry,Fowler,False
1451,1762,Tremaine Fowlkes,Tremaine,Fowlkes,False
1452,1628368,De'Aaron Fox,De'Aaron,Fox,True
1453,76746,Harold Fox,Harold,Fox,False
1454,76747,Jim Fox,Jim,Fox,False
1455,296,Rick Fox,Rick,Fox,False
1456,200751,Randy Foye,Randy,Foye,False
1457,1502,Adonal Foyle,Adonal,Foyle,False
1458,2499,Richie Frahm,Richie,Frahm,False
1459,1883,Steve Francis,Steve,Francis,False
1460,76748,Tellis Frank,Tellis,Frank,False
1461,76749,Nat Frankel,Nat,Frankel,False
1462,203479,Jamaal Franklin,Jamaal,Franklin,False
1463,1629606,Robert Franks,Robert,Franks,False
1464,204025,Tim Frazier,Tim,Frazier,False
1465,76750,Walt Frazier,Walt,Frazier,False
1466,76751,Will Frazier,Will,Frazier,False
1467,1626187,Michael Frazier II,Michael,Frazier II,False
1468,1628982,Melvin Frazier Jr.,Melvin,Frazier Jr.,False
1469,76752,Anthony Frederick,Anthony,Frederick,False
1470,202690,Jimmer Fredette,Jimmer,Fredette,False
1471,76753,World Free,World,Free,False
1472,202683,Enes Freedom,Enes,Freedom,False
1473,200777,Joel Freeland,Joel,Freeland,False
1474,76754,Donnie Freeman,Donnie,Freeman,False
1475,1642402,Enrique Freeman,Enrique,Freeman,True
1476,76755,Gary Freeman,Gary,Freeman,False
1477,76756,Rod Freeman,Rod,Freeman,False
1478,1631241,Javon Freeman-Liberty,Javon,Freeman-Liberty,False
1479,2782,Matt Freije,Matt,Freije,False
1480,76757,Frido Frey,Frido,Frey,False
1481,76758,Larry Friend,Larry,Friend,False
1482,76759,Pat Frink,Pat,Frink,False
1483,76760,Jim Fritsche,Jim,Fritsche,False
1484,101112,Channing Frye,Channing,Frye,False
1485,76761,Bernie Fryer,Bernie,Fryer,False
1486,76762,Frank Fucarino,Frank,Fucarino,False
1487,1641788,Alex Fudge,Alex,Fudge,False
1488,76763,Herm Fuetsch,Herm,Fuetsch,False
1489,76764,Joe Fulks,Joe,Fulks,False
1490,2673,Hiram Fuller,Hiram,Fuller,False
1491,957,Todd Fuller,Todd,Fuller,False
1492,76765,Tony Fuller,Tony,Fuller,False
1493,1628365,Markelle Fultz,Markelle,Fultz,False
1494,1444,Lawrence Funderburke,Lawrence,Funderburke,False
1495,1641847,Andrew Funk,Andrew,Funk,False
1496,76767,Terry Furlow,Terry,Furlow,False
1497,1642277,Johnny Furphy,Johnny,Furphy,True
1498,76768,Billy Gabor,Billy,Gabor,False
1499,1629117,Wenyen Gabriel,Wenyen,Gabriel,False
1500,2429,Dan Gadzuric,Dan,Gadzuric,False
1501,202070,Tony Gaffney,Tony,Gaffney,False
1502,1629655,Daniel Gafford,Daniel,Gafford,True
1503,101184,Deng Gai,Deng,Gai,False
1504,76769,Elmer R. Gainer,Elmer R.,Gainer,False
1505,76770,Corey Gaines,Corey,Gaines,False
