,id,full_name,first_name,last_name,is_active
196,1641842,Ronald Holland II,Ronald,Holland II,True
197,1641747,DaRon Holmes II,DaRon,Holmes II,True
198,1631096,Chet Holmgren,Chet,Holmgren,True
199,201143,Al Horford,Al,Horford,True
200,1631216,Caleb Houstan,Caleb,Houstan,True
201,1641724,Jett Howard,Jett,Howard,True
202,1628989,Kevin Huerter,Kevin,Huerter,True
203,1630643,Jay Huff,Jay,Huff,True
204,1630574,Ariel Hukporti,Ariel,Hukporti,True
205,1629631,De'Andre Hunter,De'Andre,Hunter,True
206,1643047,CJ Huntley,CJ,Huntley,True
207,1630538,Bones Hyland,Bones,Hyland,True
208,1642345,Oso Ighodaro,Oso,Ighodaro,True
209,204060,Joe Ingles,Joe,Ingles,True
210,1627742,Brandon Ingram,Brandon,Ingram,True
211,1631127,Harrison Ingram,Harrison,Ingram,True
212,202681,Kyrie Irving,Kyrie,Irving,True
213,1628371,Jonathan Isaac,Jonathan,Isaac,True
214,1631093,Jaden Ivey,Jaden,Ivey,True
215,1641713,GG Jackson,GG,Jackson,True
216,1630543,Isaiah Jackson,Isaiah,Jackson,True
217,1631245,Quenton Jackson,Quenton,Jackson,True
218,1641748,Andre Jackson Jr.,Andre,Jackson Jr.,True
219,1628991,Jaren Jackson Jr.,Jaren,Jackson Jr.,True
220,1631218,Trayce Jackson-Davis,Trayce,Jackson-Davis,True
221,1642857,Kasparas Jakučionis,Kasparas,Jakučionis,True
222,1642355,Bronny James,Bronny,James,True
223,2544,LeBron James,LeBron,James,True
224,1642883,Sion James,Sion,James,True
225,1631170,Jaime Jaquez Jr.,Jaime,Jaquez Jr.,True
226,1641998,Trey Jemison III,Trey,Jemison III,True
227,1642450,Daniss Jenkins,Daniss,Jenkins,True
228,1629660,Ty Jerome,Ty,Jerome,True
229,1630198,Isaiah Joe,Isaiah,Joe,True
230,1642358,AJ Johnson,AJ,Johnson,True
231,1629661,Cameron Johnson,Cameron,Johnson,True
232,1630552,Jalen Johnson,Jalen,Johnson,True
233,1629640,Keldon Johnson,Keldon,Johnson,True
234,1642352,Keshad Johnson,Keshad,Johnson,True
235,1642848,Tre Johnson,Tre,Johnson,True
236,203999,Nikola Jokić,Nikola,Jokić,True
237,1641732,Colby Jones,Colby,Jones,True
238,1642938,Curtis Jones,Curtis,Jones,True
239,1630529,Herbert Jones,Herbert,Jones,True
240,1642403,Isaac Jones,Isaac,Jones,True
241,1642880,Kam Jones,Kam,Jones,True
242,1642461,Spencer Jones,Spencer,Jones,True
243,1630200,Tre Jones,Tre,Jones,True
244,1626145,Tyus Jones,Tyus,Jones,True
245,1642357,David Jones Garcia,David,Jones Garcia,True
246,1627884,Derrick Jones Jr.,Derrick,Jones Jr.,True
247,201599,DeAndre Jordan,DeAndre,Jordan,True
248,1631107,Nikola Jović,Nikola,Jović,True
249,1630548,Johnny Juzang,Johnny,Juzang,True
250,1641750,Ryan Kalkbrenner,Ryan,Kalkbrenner,True
251,1642939,Miles Kelly,Miles,Kelly,True
252,1628379,Luke Kennard,Luke,Kennard,True
253,1631117,Walker Kessler,Walker,Kessler,True
254,1630557,Corey Kispert,Corey,Kispert,True
255,1628467,Maxi Kleber,Maxi,Kleber,True
256,1641752,Bobi Klintman,Bobi,Klintman,True
257,1642261,Dalton Knecht,Dalton,Knecht,True
258,1642851,Kon Knueppel,Kon,Knueppel,True
259,1642278,Tyler Kolek,Tyler,Kolek,True
260,1631132,Christian Koloko,Christian,Koloko,True
261,1629723,John Konchar,John,Konchar,True
262,1628436,Luke Kornet,Luke,Kornet,True
263,1630249,Vít Krejčí,Vít,Krejčí,True
264,1630228,Jonathan Kuminga,Jonathan,Kuminga,True
265,1628398,Kyle Kuzma,Kyle,Kuzma,True
266,1631222,Jake LaRavia,Jake,LaRavia,True
267,203897,Zach LaVine,Zach,LaVine,True
268,1629111,Jock Landale,Jock,Landale,True
269,1642404,Chaz Lanier,Chaz,Lanier,True
270,1641796,Pelle Larsson,Pelle,Larsson,True
271,1630639,A.J. Lawson,A.J.,Lawson,True
272,1627747,Caris LeVert,Caris,LeVert,True
273,202695,Kawhi Leonard,Kawhi,Leonard,True
274,1630604,E.J. Liddell,E.J.,Liddell,True
275,203081,Damian Lillard,Damian,Lillard,True
276,1641726,Dereck Lively II,Dereck,Lively II,True
277,1630587,Isaiah Livers,Isaiah,Livers,True
278,1641753,Chris Livingston,Chris,Livingston,True
279,1626172,Kevon Looney,Kevon,Looney,True
280,201572,Brook Lopez,Brook,Lopez,True
281,1631126,Caleb Love,Caleb,Love,True
282,201567,Kevin Love,Kevin,Love,True
283,200768,Kyle Lowry,Kyle,Lowry,True
284,1642863,Khaman Maluach,Khaman,Maluach,True
285,1630572,Sandro Mamukelashvili,Sandro,Mamukelashvili,True
286,1629611,Terance Mann,Terance,Mann,True
287,1630544,Tre Mann,Tre,Mann,True
288,1628374,Lauri Markkanen,Lauri,Markkanen,True
289,1630230,Naji Marshall,Naji,Marshall,True
290,1642918,Alijah Martin,Alijah,Martin,True
291,1628997,Caleb Martin,Caleb,Martin,True
292,1628998,Cody Martin,Cody,Martin,True
293,1631213,Tyrese Martin,Tyrese,Martin,True
294,1631097,Bennedict Mathurin,Bennedict,Mathurin,True
295,1631255,Karlo Matković,Karlo,Matković,True
296,1630178,Tyrese Maxey,Tyrese,Maxey,True
297,1643024,Chris Mañon,Chris,Mañon,True
298,1630540,Miles McBride,Miles,McBride,True
299,1642272,Jared McCain,Jared,McCain,True
300,1630644,Mac McClung,Mac,McClung,True
301,203468,CJ McCollum,CJ,McCollum,True
302,204456,T.J. McConnell,T.J.,McConnell,True
303,1641755,Kevin McCullar Jr.,Kevin,McCullar Jr.,True
304,1630183,Jaden McDaniels,Jaden,McDaniels,True
305,203926,Doug McDermott,Doug,McDermott,True
306,1631121,Bryce McGowens,Bryce,McGowens,True
307,1629162,Jordan McLaughlin,Jordan,McLaughlin,True
308,1642862,Liam McNeeley,Liam,McNeeley,True
309,1629001,De'Anthony Melton,De'Anthony,Melton,True
310,1630241,Sam Merrill,Sam,Merrill,True
311,203114,Khris Middleton,Khris,Middleton,True
312,1641706,Brandon Miller,Brandon,Miller,True
313,1641801,Emanuel Miller,Emanuel,Miller,True
314,1641757,Jordan Miller,Jordan,Miller,True
315,1631159,Leonard Miller,Leonard,Miller,True
316,1642434,Riley Minix,Riley,Minix,True
317,1631169,Josh Minott,Josh,Minott,True
318,1642274,Yves Missi,Yves,Missi,True
319,1642349,Ajay Mitchell,Ajay,Mitchell,True
320,1630558,Davion Mitchell,Davion,Mitchell,True
321,1628378,Donovan Mitchell,Donovan,Mitchell,True
322,1630596,Evan Mobley,Evan,Mobley,True
323,1642367,Jonathan Mogbo,Jonathan,Mogbo,True
324,1628370,Malik Monk,Malik,Monk,True
325,1630541,Moses Moody,Moses,Moody,True
326,1631111,Wendell Moore Jr.,Wendell,Moore Jr.,True
327,1629630,Ja Morant,Ja,Morant,True
328,1628420,Monté Morris,Monté,Morris,True
329,1630530,Trey Murphy III,Trey,Murphy III,True
330,1627749,Dejounte Murray,Dejounte,Murray,True
331,1627750,Jamal Murray,Jamal,Murray,True
332,1631099,Keegan Murray,Keegan,Murray,True
333,1631200,Kris Murray,Kris,Murray,True
334,1642867,Collin Murray-Boyles,Collin,Murray-Boyles,True
335,1629004,Svi Mykhailiuk,Svi,Mykhailiuk,True
336,1631250,Pete Nance,Pete,Nance,True
337,1626204,Larry Nance Jr.,Larry,Nance Jr.,True
338,1642947,Eli John Ndiaye,Eli John,Ndiaye,True
339,1629614,Andrew Nembhard,Andrew,Nembhard,True
340,1642948,Ryan Nembhard,Ryan,Nembhard,True
341,1630174,Aaron Nesmith,Aaron,Nesmith,True
342,1642854,Asa Newell,Asa,Newell,True
343,1627777,Georges Niang,Georges,Niang,True
344,1642949,Yanic Konan Niederhäuser,Yanic Konan,Niederhäuser,True
345,1630192,Zeke Nnaji,Zeke,Nnaji,True
346,203994,Jusuf Nurkić,Jusuf,Nurkić,True
347,1626220,Royce O'Neale,Royce,O'Neale,True
348,1629006,Josh Okogie,Josh,Okogie,True
349,1630168,Onyeka Okongwu,Onyeka,Okongwu,True
350,1630171,Isaac Okoro,Isaac,Okoro,True
351,1642950,Lachlan Olbrich,Lachlan,Olbrich,True
352,203482,Kelly Olynyk,Kelly,Olynyk,True
353,1626162,Kelly Oubre Jr.,Kelly,Oubre Jr.,True
354,101108,Chris Paul,Chris,Paul,True
355,1627780,Gary Payton II,Gary,Payton II,True
